diversity extinction origination
diversity NA 0.000999000999000999 0.000999000999000999
extinction 0.000999000999000999 NA 0.000999000999000999
origination 0.000999000999000999 0.000999000999000999 NA
temperature 0.013986013986014 0.0769230769230769 0.050949050949051
carbon 0.222777222777223 0.175824175824176 0.114885114885115
strontium 0.0679320679320679 0.0619380619380619 0.105894105894106
sulfur 0.104895104895105 0.0589410589410589 0.313686313686314
