,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.23328105813000208,-0.12833969549347735,-0.09459229018925737,-0.04256067663802461,-0.2576747441498022,-0.17053837282631645,-0.2754886688969131,-0.1335031054041611,0.14186373785801482,,,-0.10647426321930917,-0.0335903129761069,0.33343957640728206,-0.0857347270993301,,,0.012338749612881767,0.013321612147586225,-0.3596569086196783,-0.03264519866829057,0.0335344947852252,0.2289003861417584,0.04714761539456072,-0.14252341282316802,,,0.08156892988408616,-0.10260228160987882,0.0015631742731036947,0.06739200075873973,,,-0.02017929799502764,0.11573515148268367,-0.011156803885636514,-0.08926546525992198,0.023229019578793177,0.06509502428465201,0.30992817068815653,0.08655662146999195,0.21744467187592217
2,,,0.27019393128719876,-0.34876953301876157,,-0.09965790872330393,,,,,,0.1987957519464372,,,,,,0.047894590872930846,0.19310619179195962,,,-0.022493558448012565,-0.3374167597014994,-0.008610444035467514,-0.014325004645098005,,,0.027126568202160677,,0.012600825176638073,,,,-0.020711166342742303,,-0.2800311876012331,0.009546837039210157,-0.18252833649647782,-0.0319365050976989,-0.1344294882847983,0.14762274039229975,0.05254790123585145
3,,,,0.36540509369841145,,0.21087586042902515,,,,,,,,,,,,,,,,,,,0.01855165707374654,,,,,,,,,,,,0.14907466421338889,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.23328105813000208,-0.12833969549347735,0.0878008205489707,-0.008641705319458237,-0.2576747441498022,-0.01977347370686508,-0.2754886688969131,-0.1335031054041611,0.14186373785801482,,,0.046160744363564016,-0.0335903129761069,0.33343957640728206,-0.0857347270993301,,,0.030116670242906308,0.10321390196977293,-0.3596569086196783,-0.03264519866829057,0.005520468168606319,-0.054258186779870515,0.019268585679546604,-0.046098920131506495,,,0.05434774904312342,-0.10260228160987882,0.007081999724870884,0.06739200075873973,,,-0.02044523216888497,0.11573515148268367,-0.1455939957434348,0.02311867866422569,-0.07964965845884232,0.016579259593476555,0.08774934120167911,0.11708968093114586,0.1349962865558868
std,0.0,0.0,0.18239311073822806,0.2925454059607792,0.0,0.1656408696565389,0.0,0.0,0.0,,,0.15263500758287318,0.0,0.0,0.0,,,0.01777792063002454,0.0898922898221867,0.0,0.0,0.028014026616618885,0.28315857292162894,0.027879029715014117,0.06949091458398021,,,0.027221180840962745,0.0,0.005518825451767189,0.0,,,0.00026593417385733197,0.0,0.1344371918577983,0.09777406095401625,0.1028786780376355,0.04851576469117545,0.22217882948647744,0.0305330594611539,0.08244838532003536
