diversity extinction origination
diversity NA 0.002997002997003 0.032967032967033
extinction 0.000999000999000999 NA 0.0599400599400599
origination 0.0559440559440559 0.12987012987013 NA
temperature 0.21978021978022 0.013986013986014 0.01998001998002
carbon 0.438561438561439 0.0989010989010989 0.551448551448551
strontium 0.180819180819181 0.306693306693307 0.00799200799200799
sulfur 0.256743256743257 0.17982017982018 0.238761238761239
