diversity extinction origination
diversity NA 0.000115189594356302 5.51146384530909e-07
extinction 0.0725501543209877 NA 0.0725501543209877
origination 0.0091484788359788 0.99 NA
temperature 0.99 5.51146384530909e-07 2.97619047620046e-05
carbon 0.99 2.97619047620046e-05 0.99
strontium 0.99 0.000299343342926744 0.000115189594356302
sulfur 1 5.51146384486501e-06 0.484312720458554
