diversity extinction origination
diversity NA 0.001998001998002 0.002997002997003
extinction 0.0539460539460539 NA 0.034965034965035
origination 0.00699300699300699 0.146853146853147 NA
temperature 0.416583416583417 0.051948051948052 0.02997002997003
carbon 0.0589410589410589 0.021978021978022 0.025974025974026
strontium 0.151848151848152 0.155844155844156 0.027972027972028
sulfur 0.024975024975025 0.0999000999000999 0.0559440559440559
