diversity extinction origination
diversity NA 0.99 0.99
extinction 0.99 NA 2.97619047620046e-05
origination 5.51146384486501e-06 5.51146384530909e-07 NA
temperature 0.99 0.99 0.15574184303351
carbon 0.99 0.861800595238095 0.000115189594356302
strontium 0.000115189594356302 0.000115189594356302 0.99
sulfur 5.51146384530909e-07 0.000357694003527254 0.38071979717813
