diversity extinction origination
diversity NA 0.354269618265983 0.274600992181541
extinction 0.473221256244266 NA 0.166510531606513
origination 0.316874446814925 0.163783034573608 NA
temperature 0.401729282616334 0.0741271339768781 0.249875384586052
carbon 0.351116000354025 0.252194372781785 -0.150204359242803
strontium 0.0900280551625666 0.0899927567542709 0.239664620947488
sulfur 0.366066596293847 0.119373116840686 0.337071971476538
