,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.005385501276886169,0.3295816638148841,-0.06341205842642157,0.11240486330702801,-0.10201103267726498,0.005871523709599079,-0.4708209679572376,,-0.011304687602568373,0.010732929673908178,-0.14343777219595388,-0.0830638592772184,0.029374103875760147,,-0.11310790698693954,0.07619102254311201,-0.137332043634622,-0.08859070968332157,-0.0976101399416159,-0.01810292374825973,0.14149671659816204,-0.05449253561133382,0.108632992619827,0.08183458809278124,-0.3928151458941655,0.051452372935268574,-0.0501827887641023,0.061434559334239455,-0.02278166145977245,-0.09788563597270919,0.006688959584662173,-0.24457156755909373,0.07957966839961944,-0.06773983489265703,-0.1708555186056053,0.04891006769133642,0.03907385608868238,-0.21078186480027922,-0.15941029289951628,0.16330156497576384,-0.13143820717166294,0.13555459532537023
2,,-0.36078064278753674,-0.054694801349054245,-0.12528741145727385,0.05502654737416438,-0.20289892661058856,,,0.09580090518182487,,,0.26634109322195204,-0.03437629545384287,,,,,0.29190649024024007,0.24936183817889956,-0.08840821170784087,,0.09174689928451339,-0.2694323578368379,0.07452982772149061,0.3531817085774335,,,0.13678726203708616,,0.06247983693844698,0.2538093529086464,,,0.04998002318928699,,-0.21096154868970143,0.36906919974880636,0.008674535277747038,0.1480619459035006,-0.05404327984870503,0.10159652705317182,0.0016692696278524295
3,,,,0.07028776107607664,,0.18489675146218504,,,,,,,,,,,,,,,,,,,-0.3112079906935767,,,,,,,,,,,,-0.2255272052949869,,,,,
4,,,,,,-0.2549601963802944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46233213720588284,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.005385501276886169,-0.015599489486326334,-0.05905342988773791,0.019135070975276933,-0.0234922426515503,-0.0667727119547747,-0.4708209679572376,,0.042248108789628244,0.010732929673908178,-0.14343777219595388,0.09163861697236682,-0.00250109578904136,,-0.11310790698693954,0.07619102254311201,-0.137332043634622,0.10165789027845926,0.07587584911864184,-0.0532555677280503,0.14149671659816204,0.018627181836589787,-0.08039968260850544,0.07818220790713593,-0.11694714267010291,0.051452372935268574,-0.0501827887641023,0.0991109106856628,-0.02278166145977245,-0.017702899517131106,0.13024915624665429,-0.24457156755909373,0.07957966839961944,-0.008879905851685022,-0.1708555186056053,-0.08102574049918251,0.16123699693709617,-0.1010536647612661,-0.005674173498007834,0.05462914256352941,-0.014920840059245558,0.06861193247661133
std,0.0,0.3451811533012104,0.0043586285386836635,0.10355949223857892,0.07851879002571469,0.17504255154302298,0.0,,0.053552796392196615,0.0,0.0,0.17470247624958524,0.031875199664801505,,0.0,0.0,0.0,0.1902485999617808,0.17348598906025775,0.03515264397979057,0.0,0.0731197174479236,0.18903267522833245,0.0036523801856453153,0.33409657738093174,0.0,0.0,0.03767635135142335,0.0,0.08018273645557808,0.12356019666199212,0.0,0.0,0.05885992904097201,0.0,0.12993580819051892,0.2731130210779125,0.10972820003901312,0.15373611940150844,0.10867242241223443,0.11651736711241738,0.06694266284875891
