diversity extinction origination
diversity NA 0.656430612583327 0.612205435391857
extinction 0.571808537974564 NA 0.388381687519871
origination 0.589208297695087 0.342179239428368 NA
temperature -0.0520720943102072 -0.296640231478289 -0.253871003939806
carbon 0.294173670322146 0.345522381017327 0.106965699468417
strontium 0.274295371513182 0.125851990447612 0.19806854539868
sulfur 0.251195992426904 0.101332344300599 0.204658626298864
