diversity extinction origination
diversity NA 0.000999000999000999 0.000999000999000999
extinction 0.001998001998002 NA 0.040959040959041
origination 0.000999000999000999 0.031968031968032 NA
temperature 0.480519480519481 0.475524475524476 0.713286713286713
carbon 0.020979020979021 0.00699300699300699 0.211788211788212
strontium 0.116883116883117 0.152847152847153 0.121878121878122
sulfur 0.044955044955045 0.113886113886114 0.0649350649350649
