,Omnibus test,Diversity,Energy,Omnibus test,Diversity,Energy,Omnibus test,Diversity,Energy,Omnibus test,Diversity,Energy,Omnibus test,Diversity,Energy,Omnibus test,Diversity,Energy,Omnibus test,Diversity,Energy,Omnibus test,Diversity,Energy
bivalvia,0.19098356487074625,0.0,0.0,0.2642594061621915,0.11645888701167029,0.021621590996958342,0.23166435543018415,0.08226570522961527,0.04270257020446999,0.37517287338609123,0.019682211603273336,0.007619834719988862,0.26267047822242506,0.19556725654905407,0.00037746642820216244,0.3723570522883745,0.16503135121789478,0.04636761850973043,0.33163597090634667,0.15362071434924127,0.04716525336959894,0.26020484581478426,0.012506096406828487,0.038603476940524954
brachipoda,0.2370366870253668,0.022552380644964006,0.022356597727748916,0.09964692102391173,0.0,0.0,0.18984744295189998,0.06630302635173581,0.035309207153579575,0.241409856569404,0.016723863155757104,0.0,0.18254084797108197,0.03822989516920643,0.020170519299572934,0.1488215816462123,0.04446036910931137,0.007376689413512627,0.16159838272983099,0.013204050930948737,0.0,0.2192376815005942,0.0,0.007710410250852171
scleractinia,0.23963140556243678,0.0,5.589727522730903e-07,0.23626731217472763,0.08985054902017413,0.0,0.2372252495580114,0.0,0.011071064979428155,0.21527162485353635,0.0,0.0,0.21527162485353635,0.0,0.0,0.35234776498905285,0.0,0.02744086239364529,0.3476704544622102,0.0,0.08023204495024204,0.23697383582610673,0.0,0.007126385187793449
gasteropoda,0.12547064192469431,0.0,0.0,0.11471796690096096,0.0,0.0,0.10701815228765552,0.0,0.0,0.22438526038168727,0.12737141596019458,0.000908481258618133,0.18318224317762696,0.0,0.0,0.1947982961290438,0.19479829612904395,0.0,0.21117776714203365,0.16112819557973007,0.008201696000910367,0.12915406574013016,0.0,0.0
metazoa,0.1601488307813772,0.012706811875036176,0.010265904828965859,0.13037525429612223,0.009929828206283336,0.010767779627465102,0.13349393597940637,0.0,0.0,0.3665964466053362,0.15044942436799363,0.026458819211785407,0.3679237608699634,0.19182815262305059,0.025019720999138517,0.3260530509589617,0.13982109752419666,0.003130790342578147,0.33953456906036533,0.09723397563389723,0.03202013585244267,0.11238202423616492,0.0,0.0
prymnesiophycae,0.23676478176676544,0.0,0.0,1.7718481348961412,0.2762943397158866,0.08541830432132815,0.32181313108489074,0.0,0.0,inf,0.710475036801055,0.2862034349578346,1.9178379217633896,0.7444364853554197,0.09564019696400915,0.6675084838222375,0.013889108789600927,0.0,inf,0.7620199570159524,0.19851581497700818,inf,0.30102718853173144,0.6127161652131994
foraminifera,0.28879748862889826,0.07278602250617847,0.054692059939124446,0.2844847080761164,0.0,0.0009139739766623892,0.3200451620049056,0.0,0.0007072073133149559,0.7079363343547644,0.21777802957746512,0.03836473137023984,0.7146019573201754,0.030583077423718658,0.007090016108682886,0.6863167018221247,0.24202923315436994,0.00950323961495235,0.6859870289511812,0.24202923315436994,0.00028196822191298366,0.2880248251686355,0.04391745431718355,0.00657374426178034
coccolithophoridae,0.3187586095828141,0.0793133953761957,0.0,0.3904320628134214,0.0,0.008034776504831012,0.3230763764365717,0.028105265550103353,0.0,inf,0.555116597370746,0.2890837544696669,0.8782342138909704,0.5269884993839711,0.05801900016020915,0.7768586516441188,0.4852118672742565,0.03978268928504175,0.8996849066705827,0.5496903922467159,0.09179775144490061,1.9550381621335424,0.2658089814043054,0.12405483128766993
radiolaria,0.3744233162044026,0.0005805490059478639,0.0,0.4027142582085357,0.03662807511462129,0.015536278652444967,0.4088531814228091,0.015706164186317983,0.003252271142238962,0.4889356787059093,0.1637535839695537,0.021258638416925126,0.469887472350773,0.12439274963484068,0.009220262171725042,0.5404250751593249,0.0023708782440920785,0.006966429255427212,0.5833572686189996,0.18511656977156352,0.06283840599242897,0.40684522514231425,0.028353360561953346,0.004159665260835925
