diversity extinction origination
diversity NA 0.00468694885361542 0.38071979717813
extinction 0.0466225749559084 NA 0.0725501543209877
origination 0.00468694885361542 5.51146384486501e-06 NA
temperature 0.99 0.99 0.99
carbon 0.00221285273368599 2.97619047620046e-05 0.000771866448828661
strontium 0.000115189594356302 0.00202418693823823 0.600653659611993
sulfur 5.51146384530909e-07 0.000162131752043926 0.000115189594356302
