"stg","mean"
36,21.9760161667349
37,22.0746018060353
38,22.1738830112448
39,22.2737532808052
40,22.3741061131581
41,22.4748350067452
42,22.5758334600079
43,22.676994971388
44,22.778213039327
45,22.8793811622667
46,22.9803928386486
47,23.0811415669143
48,23.1910883307555
49,23.3162803167085
50,23.4514903274825
51,23.5914911657864
52,23.731055634329
53,23.8649565358195
54,23.9879666729668
55,24.0948588484798
56,24.1836436903228
57,24.269047050238
58,24.3504240275842
59,24.4239503517429
60,24.4858017520956
61,24.5321539580237
62,24.5591826989089
63,24.5630637041327
64,24.5405532264621
65,24.4935076977882
66,24.4242993631564
67,24.3349641178037
68,24.2275378569673
69,24.1040564758843
70,23.9596288159513
71,23.7649807149948
72,23.5414212488054
73,23.3183256876401
74,23.1250693017558
75,22.9910273614093
76,22.9025505301404
77,22.8249687595829
78,22.7561262521353
79,22.6938672101959
80,22.6360358361631
81,22.5804763324352
82,22.5250329014106
83,22.4675497454877
84,22.4058710670648
85,22.3378410685402
86,22.2613039523124
87,22.1741039207798
88,22.0740851763406
89,21.9590692538592
90,21.8279710081036
91,21.6816956544033
92,21.5213051486853
93,21.3478614468769
94,21.1624265049051
95,20.9660622786971
96,20.75983072418
97,20.5447937972811
98,20.3220134539273
99,20.0925516500459
100,19.857470341564
101,19.6178314844088
102,19.3746970345073
103,19.1291289477868
104,18.8821891801743
105,18.6349396875971
106,18.3884424259821
107,18.1437593512567
108,17.9019524193479
109,17.6640835861829
110,17.4312148076888
111,17.2018935371813
112,16.9627665550818
113,16.7140982395654
114,16.4587421203253
115,16.1995517270551
116,15.939380589448
117,15.6810822371975
118,15.427510199997
119,15.1815180075399
120,14.9459591895195
121,14.7236872756293
122,14.5175557955626
123,14.3304182790129
124,14.1651282556734
125,14.0245392552377
126,13.911504807399
127,13.8288784418509
128,13.7795136882866
129,13.7662640763996
130,13.7919831358832
131,13.8595243964309
132,13.9792165793058
133,14.187494605078
134,14.4658867009581
135,14.7871937071934
136,15.1242164640311
137,15.4497558117187
138,15.7366125905032
139,16.0132219141774
140,16.3169513294367
141,16.6340003258829
142,16.9505683931177
143,17.2528550207429
144,17.5270596983603
145,17.7628265618782
146,17.9731058495112
147,18.1630868113672
148,18.3351899257778
149,18.4918356710746
150,18.6354445255893
151,18.7684369676534
152,18.8932334755987
153,19.0122545277567
154,19.1279206024591
155,19.2426521780375
156,19.3588697328236
157,19.4798457361812
158,19.6048257995473
159,19.730190114363
160,19.8523188720695
161,19.967592264108
162,20.0723904819197
163,20.1630937169458
164,20.2360821606274
165,20.2877360044058
166,20.314227253534
167,20.3136523163
168,20.2897612736714
169,20.246841874357
170,20.1891818670654
171,20.1210690005053
172,20.0467910233855
173,19.9706356844145
174,19.8968907323011
175,19.829843915754
176,19.7737829834818
177,19.7329956841932
178,19.711769766597
179,19.7143929794017
180,19.7170551426183
181,19.6981152908373
182,19.6651149946371
183,19.625595824596
184,19.5870993512924
185,19.5571671453046
186,19.543340777211
187,19.5531618175898
188,19.5941718370194
189,19.6739124060782
190,19.7999250953445
191,19.9797514753966
192,20.2419015593966
193,20.5945146224154
194,21.0145761278952
195,21.4790715392782
196,21.9649863200064
197,22.4493059335219
198,22.9090158432669
199,23.3211015126834
200,23.6625484052135
201,23.9103419842994
202,24.0107098356832
203,24.0149280689332
204,24.032331114352
205,23.95975310386
206,23.8116304212119
207,23.6023994501628
208,23.3464965744674
209,23.0583581778807
210,22.7524206441575
211,22.4431203570528
212,22.1448937003214
213,21.8721770577182
214,21.6394068129981
215,21.461019349916
216,21.328107845039
217,21.2193360243624
218,21.1304960957834
219,21.0573802671992
220,20.9957807465068
221,20.9414897416035
222,20.8902994603864
223,20.8380021107526
224,20.7803899005994
225,20.7132550378238
226,20.632389730323
227,20.5335861859942
228,20.4146833450477
229,20.2772680825861
230,20.122754508845
231,19.9525567340598
232,19.7680888684659
233,19.570765022299
234,19.3619993057944
235,19.1432058291877
236,18.9157987027144
237,18.6811920366099
238,18.4407999411098
239,18.1960365264496
240,17.9483159028646
241,17.6990521805905
242,17.4496594698628
243,17.2015518809168
244,16.9561435239882
245,16.7148485093123
246,16.4790809471247
247,16.242273166802
248,15.9622658532318
249,15.6435243330716
250,15.2989754093719
251,14.9415458851831
252,14.5841625635558
253,14.2397522475403
254,13.9212417401872
255,13.6415578445468
256,13.4136273636696
257,13.2503771006062
258,13.1854192046643
259,13.2249021830739
260,13.3405573757685
261,13.5041161226817
262,13.6873097637469
263,13.8618696388978
264,13.9995270880679
265,14.0720134511906
266,14.0694828074624
267,14.0768373402266
268,14.0909635042504
269,14.0906177270195
270,14.0545564360195
271,13.961536058736
272,13.7903130226548
273,13.5146711612504
274,13.1669066157304
275,12.9338733739173
276,12.8387736602742
277,12.7698659265717
278,12.725825015359
279,12.7053257691851
280,12.7070430305992
281,12.7296516421506
282,12.7718264463884
283,12.8322422858618
284,12.9095740031199
285,13.0024964407119
286,13.109684441187
287,13.2298128470944
288,13.3615565009831
289,13.5035902454025
290,13.6545889229016
291,13.8132273760297
292,13.9781804473358
293,14.1481229793692
294,14.3217298146791
295,14.4976757958146
296,14.6528287676755
297,14.7714713116249
298,14.8634003749066
299,14.9384129047647
300,15.006305848443
301,15.0768761531854
302,15.1599207662359
303,15.2652366348384
304,15.4026207062368
305,15.581869927675
306,15.8127812463969
307,16.1051516096466
308,16.4783747429084
309,16.9874172559749
310,17.6199558567114
311,18.3526914739767
312,19.1623250366295
313,20.0255574735284
314,20.9190897135323
315,21.8196226854999
316,22.7038573182899
317,23.548494540761
