"stg","mean"
5,34.3301340656396
6,35.0915769441118
7,36.4874227443018
8,37.2989417892857
9,37.4251282095769
10,36.85164769031
11,35.492334882191
12,33.69397255453
13,32.230719681515
14,30.3782433107591
15,28.0349190466432
16,26.2490704325655
17,24.5187833947004
18,23.636935593788
19,24.7766297896522
20,26.5655166616037
21,27.4969037464451
22,28.3964317245159
23,28.6944814788622
24,26.7125674923401
25,27.2218011613595
26,27.3443438169031
27,27.0254300199338
28,26.0523736658208
29,23.7549738523552
30,21.2343706857475
31,18.0673371206513
32,18.2226190635512
33,20.0615325517558
34,22.7974306823767
35,22.7205856046394
36,19.4469613846895
37,15.278424466194
38,14.6897001202591
39,15.2049433802713
40,13.6161305979756
41,12.8224016938949
42,12.591213114786
43,12.5275460979739
44,12.5832591925421
45,12.8379075478189
46,13.1552308198691
47,13.2642681798234
48,13.7010433911706
49,15.0538138227108
50,17.1730369306311
51,18.9635778737497
52,19.5876777051249
53,20.4374785181848
54,21.1834085047273
55,21.380317414821
56,20.2499455470654
57,18.1962879798959
58,17.2510122868049
59,17.349943435365
60,17.5658306467907
61,17.829417709176
62,17.884869329461
63,17.8725886111763
64,17.703654698128
65,17.3576970745188
66,16.933897943026
67,16.3888080881936
68,15.8385992222882
69,15.5650150002729
70,15.9031465765012
71,17.0585019006816
72,17.1562517298088
73,17.3275040952142
74,15.4719610664269
75,15.9507993193716
76,18.5383795293519
77,18.821789833982
78,18.1640417678344
79,17.9829079445642
80,19.0333285573499
81,18.8977004333537
82,18.5763042793842
83,17.9574576396575
84,18.7558281641438
85,21.5368855684495
86,22.3220926602535
87,22.1307305732328
88,21.727488168504
89,21.5979734210112
90,21.8943819483711
91,22.0880050372132
92,22.0402320388001
93,21.9170949617315
94,21.5276953661069
95,21.211891976246
