"stg","mean"
4,22.32387603298
5,23.3829597688236
6,24.269047050238
7,24.5630637041327
8,24.2559791168572
9,23.5414212488054
10,22.9235641151721
11,22.6938672101959
12,22.482229653859
13,22.1694253480569
14,21.3568272514298
15,19.702157066957
16,18.4253273123581
17,17.047692390544
18,15.2299730890266
19,13.9758591321277
20,13.8020542989574
21,14.0523733549775
22,14.7373310976907
23,15.8845661641622
24,17.1194757365969
25,17.8811368627515
26,18.3351899257778
27,18.6628148716915
28,19.0587880081457
29,19.7918851758898
30,20.2985307491787
31,19.8933436688429
32,19.5870993512924
33,19.706514498775
34,22.4730672178089
35,23.073307829657
36,20.9055813323946
37,18.9848411343334
38,16.121889741231
39,13.5671564221947
40,13.9229439546473
41,14.0880045371756
42,13.4455920919261
43,12.7541029315105
44,12.7571984017534
45,13.6237356003131
46,14.9171024634558
47,15.3948386424774
48,16.295803956898
49,19.1623250366295
50,23.9212427667036
51,26.8946457472738
52,28.0113276215848
53,29.3567525360188
54,29.1728841614461
55,25.4535250541702
56,24.5366576740783
57,24.6116839281748
58,23.6315708132736
59,22.9976989199318
60,22.4723873542988
61,22.3373266401029
62,22.9919724350333
63,22.7239016956056
64,22.0170352481839
65,21.4408570420665
66,20.8341926622713
67,20.521610676484
68,20.639546036223
69,20.1163653964773
70,19.1971594773068
71,19.4972968082883
72,20.7456238906032
73,21.5952779765459
74,22.2226657529933
75,20.9884900101914
76,24.6055178935066
77,26.6641953580488
78,26.6435248834431
79,26.0165517084571
80,23.4444967273122
81,20.5520150508528
82,20.9786223642826
83,23.1136077034921
84,25.0766629570899
85,23.9194182995168
86,21.9523320470768
87,19.8212349745136
88,17.7021804625925
89,17.7450540776506
90,18.075074868937
91,17.4640552333978
92,15.9724013165654
93,14.7913663311215
