"stg","mean"
71,0.709129658876169
72,0.709163862073903
73,0.709190811155636
74,0.709210319850351
75,0.709221953950396
76,0.709226243653492
77,0.709224465816395
78,0.709217564447614
79,0.709206494785401
80,0.709192418181201
81,0.709176319870337
82,0.70915924501401
83,0.709142466672493
84,0.709127257525414
85,0.70911513216328
86,0.709105607819116
87,0.709095166582825
88,0.709081662885207
89,0.709063950792439
90,0.709040919855154
91,0.7090161851763
92,0.708995824491114
93,0.708980779664595
94,0.708969309603647
95,0.708961389320764
96,0.708956975976941
97,0.708955913112514
98,0.70895842327141
99,0.708961390545946
100,0.708957838530596
101,0.708945319937191
102,0.708926735427538
103,0.708904518123448
104,0.708879651519462
105,0.708853618131893
106,0.708830731039469
107,0.708812124059136
108,0.708795417090231
109,0.708780050649505
110,0.708765584642571
111,0.708749966437392
112,0.708727677196266
113,0.708694389056622
114,0.708651118276503
115,0.708595148940614
116,0.708521496057355
117,0.708434301395626
118,0.708344758675615
119,0.708263006887533
120,0.70818935136425
121,0.708112348728782
122,0.708039337269983
123,0.707984933073335
124,0.707943556698533
125,0.707910765479168
126,0.707887853136001
127,0.707874642091059
128,0.707872700959655
129,0.707881821540338
130,0.707899374799454
131,0.70792516423277
132,0.70796144954624
133,0.70800794681745
134,0.708059056521088
135,0.708117878174521
136,0.708188143160756
137,0.708252053375663
138,0.708296397896347
139,0.708325169722744
140,0.708343123713413
141,0.708353338341807
142,0.708358057625869
143,0.708366974268572
144,0.708393004659005
145,0.708422771529396
146,0.708438731645719
147,0.708472554364233
148,0.708560677233646
149,0.708657298075791
150,0.708709437201148
151,0.708720582097945
152,0.708714545671351
153,0.708708822390715
154,0.70870407627442
155,0.708696870068801
156,0.708684660895093
157,0.70866590873539
158,0.708639701924747
159,0.708605516654436
160,0.708563709121063
161,0.708515239675736
162,0.708461750708743
163,0.70840540973057
164,0.708348925476703
165,0.708297070476875
166,0.708254013542822
167,0.708216611946128
168,0.708181336596431
169,0.70814976900679
170,0.708122086177351
171,0.708097088159424
172,0.708073303690848
173,0.708049341170113
174,0.708023148967202
175,0.707991134279215
176,0.707954863464063
177,0.707916786704672
178,0.70787420364664
179,0.707828309573802
180,0.707791871962603
181,0.707776230092953
182,0.707779124556894
183,0.707796693251023
184,0.707816572722513
185,0.707818277058661
186,0.707802222863567
187,0.707788279434903
188,0.707783534655004
189,0.707783466957876
190,0.707788092439859
191,0.707803214034358
192,0.70783445985379
193,0.707872722147222
194,0.707904516401392
195,0.707929215858719
196,0.707950354098268
197,0.707970078963067
198,0.707988442378895
199,0.708004506550082
200,0.708017486224621
201,0.708027982237676
202,0.708038061589534
203,0.708049588011536
