"stg","mean"
9,0.709176393593546
10,0.709202673577795
11,0.709197006558221
12,0.709157605119552
13,0.70908654592361
14,0.708994939511934
15,0.708931358096236
16,0.708850433722919
17,0.708717557659548
18,0.708294394230836
19,0.707905433320478
20,0.70791049914919
21,0.708001719885895
22,0.708107697906498
23,0.708270796132043
24,0.708387176755847
25,0.708473927404876
26,0.708576467150099
27,0.708646330830761
28,0.708714581073799
29,0.708571712667102
30,0.708300686261542
31,0.708001151110768
32,0.70778336379074
33,0.707805511409254
34,0.707961224245723
35,0.70815230381393
36,0.708089139659055
37,0.707664084152444
38,0.708146689511015
39,0.708262253867514
40,0.708279804385396
41,0.708248747885453
42,0.708159328411518
43,0.707961346421199
44,0.707688046451977
45,0.70744736568018
46,0.707357774831584
47,0.707237568682319
48,0.707081210804392
49,0.706915803314515
50,0.706956910072811
51,0.707273338876316
52,0.707420277904533
53,0.707686709111829
54,0.707893450623339
55,0.707712744072297
56,0.707628291150202
57,0.707831881776457
58,0.707728156755402
59,0.707648582957348
60,0.707540395480778
61,0.70720642349257
62,0.707185762688239
63,0.70728101401499
64,0.707198648205187
65,0.707120208615627
66,0.7069873276508
67,0.706852775159923
68,0.706904381394407
69,0.707077798328811
70,0.707214422882301
71,0.707348170410104
72,0.707451249629609
73,0.707439108303101
74,0.70726132827038
75,0.707417285756777
76,0.707406399325931
77,0.707345177807063
78,0.707373785707688
79,0.707432162156989
80,0.707583061254452
81,0.707790874308
82,0.707823144969215
83,0.70779393111926
84,0.707722777434121
85,0.70773703887204
86,0.707741909986619
87,0.707783715305443
88,0.707933326578458
89,0.708143822003427
90,0.708481896304012
91,0.708784153932183
92,0.708947659598094
93,0.70905557736212
94,0.709110172084227
95,0.709134548389395
