"stage","diversity","extinction","origination","temperature","carbon","strontium","sulfur"
27,-1.30966353418656,1.07443399584375,-0.521193129710764,NA,NA,NA,NA
28,-1.15259956687436,1.14359681271366,0.848542302877329,0.410808018257082,-0.925206136873379,0.38406673312,NA
29,-0.848542302877329,0.551426645450123,1.63394893603105,0.724426474894821,-1.43380459739021,-0.892384112531565,-1.20984280663224
30,-0.959531161345538,-1.21868628582314,-0.5639621934737,0.538600345049108,-0.258312392502284,-1.50021913514959,-0.452566843349348
31,-0.438333776164895,-0.265479672873018,1.01968442696887,-0.210851678465373,-0.214527640271274,-1.78628681098023,-0.724426474894821
32,-0.607784682017654,0.949576965301535,-1.2273616004765,-0.13358933998977,0.34747869412277,-1.30132563424346,2.00444749243648
33,-1.63394893603106,0.0750432297310587,-1.63394893603106,0.210851678465373,0.302596014684885,0.0750432297310587,1.38577606909529
34,-1.79303103360374,0.785903894163858,-2.44431422718674,1.49246616442227,0.0425929500671724,0.837960651850942,0.881902281542624
35,-1.40189789387188,-0.150510369403846,1.79303103360374,0.58311213353036,-0.636425723989329,1.07443399584375,-2.00444749243648
36,-1.2273616004765,-0.640937349899711,0.438333776164895,-1.38577606909529,0.801755950350381,-0.30451597455034,-2.4336225779341
37,-0.699178033471472,0.150510369403845,0.607784682017653,-1.06492432224764,-1.1426645555429,-2.43901279121554,-0.774772400091772
38,-0.747102783585762,0.265479672873017,0.0924668009771819,-1.779422600236,-0.801755950350381,2.43901279121554,2.4336225779341
39,-1.01968442696887,0.424736583881181,-0.902651750193017,-1.49246616442227,0.689421311326221,0.551426645450123,1.06492432224764
40,-0.902651750193017,-1.14359681271366,-0.607784682017654,0.369751011697736,0.992499115401474,0.0374953157516633,-1.61940687710021
41,-1.08375749491793,1.78628681098023,0.242417298096765,0.249928989086809,0.925206136873379,-0.226842352740855,0.774772400091772
42,-2.01690886821002,-2.43901279121554,-2.01690886821002,-0.538600345049107,0.74441904524583,-0.551426645450123,0.628805827528774
43,-0.796801279924284,0.344020197860859,1.40189789387188,-0.58311213353036,1.56397623882912,-1.21868628582314,0.289390305389137
44,-0.652802177146455,-1.3939120082262,0.319262651121188,0.0571143312355597,NA,-1.62674330274767,0.249928989086809
