,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.0017890876069722088,-0.1438620186592134,-0.4846036787785307,-0.16455945579404052,0.16123156901953697,-0.7617676138607173,-0.24291412235523832,,0.0764881512945194,,,0.02766473133679042,-0.07313460534539747,,-0.17204148815873238,,,-0.19545947578738393,-0.003684092060621698,-0.09991353252110925,0.27062796057563193,0.14489095594589563,0.1395551452702505,0.09220389129628477,-0.07484350776726376,,,0.09937693648544677,-0.21216132506950316,-0.24442569484227533,0.12460657770711069,,,-0.06557606954092741,0.22473246890637005,-0.019613889289882835,-0.15354704088092727,-0.20516305829167947,-0.24997283058857359,0.28399073532949703,0.05003460569409464,-0.041627874843317994
2,,,0.48006143270198665,,,0.3265706786284232,,,0.025387384104789076,,,0.04255719056364317,,,0.09170917492700123,,,0.020856036359732058,0.10632536166407477,-0.08322961772405725,-0.06426189867621086,-0.02001678838123481,-0.3322950347549894,0.041882947985698436,,,,-0.07952147518585108,,0.13599269146899223,,,,-0.0561823744551503,,-0.3254200237538636,0.0059261639763466345,0.003031816872627086,-0.034378913639545296,0.04555911178865528,0.06529246678501789,-0.009178043329733819
3,,,,,,0.10420324831542027,,,,,,-0.04006710734774039,,,0.03916144168033302,,,-0.03448422876125699,,,0.23924915106829495,,,-0.1744475779363746,,,,,,-0.1639686514069342,,,,,,0.15118541162396196,-0.10645770165773566,-0.2275474473704216,-0.048682690589070106,0.30847015170997405,0.09384460980281935,-0.16342376958940674
4,,,,,,0.460028173256246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06962230764151556,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,-0.0017890876069722088,-0.1438620186592134,-0.002271123038272038,-0.16455945579404052,0.16123156901953697,0.032258621584843036,-0.24291412235523832,,0.05093776769965424,,,0.010051604850897731,-0.07313460534539747,,-0.013723623850466044,,,-0.06969588939630296,0.051320634801726536,-0.09157157512258325,0.148538404322572,0.062437083782330406,-0.09636994474236944,-0.013453579551463804,-0.07484350776726376,,,0.009927730649797843,-0.21216132506950316,-0.09080055159340576,0.12460657770711069,,,-0.06087922199803886,0.22473246890637005,-0.06461616713992815,-0.04611406773020019,-0.14322622959649134,-0.11101147827239632,0.21267333294270876,0.06972389409397729,-0.07140989592081952
std,0.0,0.0,0.4823325557402587,0.0,0.0,0.4757257792441007,0.0,,0.025550383594865164,,,0.0359570143346497,0.0,,0.11398457698796717,,,0.09175327780657395,0.05500472686234823,0.008341957398526001,0.15101685146323857,0.08245387216356523,0.23592509001261996,0.11567872167022855,0.0,,,0.08944920583564892,0.0,0.1636962945694639,0.0,,,0.0046968475428885575,0.0,0.19715829345425498,0.08843965764271003,0.10382301394305352,0.09843387827000417,0.11858943921650197,0.018157776589247967,0.06639860742485014
