diversity extinction origination
diversity NA 2.97619047620046e-05 0.00468694885361542
extinction 5.51146384486501e-06 NA 0.291248346560847
origination 5.51146384486501e-06 0.000115189594356302 NA
temperature 0.99 0.0694190749993639 2.97619047620046e-05
carbon 0.000602606554652096 0.216373456790123 5.51146384486501e-06
strontium 0.99 2.97619047620046e-05 0.0091484788359788
sulfur 0.99 0.99 0.000357694003527254
