diversity extinction origination
diversity NA 0.416762602911094 0.291466295469833
extinction 0.311129503377909 NA 0.179984945055178
origination 0.225518421505508 0.235365004009354 NA
temperature -0.172235590345857 0.0751028221737897 0.236338133135854
carbon 0.0596174070864295 0.0994261580127001 0.475199837835363
strontium 0.18501500810833 0.119422522503026 0.167871423482976
sulfur -0.110797832216036 0.0489442839220463 0.0824860459901224
