diversity extinction origination
diversity NA 0.001998001998002 0.022977022977023
extinction 0.040959040959041 NA 0.0779220779220779
origination 0.013986013986014 0.035964035964036 NA
temperature 0.772227772227772 0.288711288711289 0.0559440559440559
carbon 0.342657342657343 0.246753246753247 0.001998001998002
strontium 0.212787212787213 0.271728271728272 0.131868131868132
sulfur 0.741258741258741 0.221778221778222 0.206793206793207
