"";"diversity";"temperature";"carbon";"strontium";"sulfur"
"bivalvia";"-4 -2 -1 0";"-1 0";"-4 -2";"-5";"-5 -4 -3 -2 -1"
"brachipoda";"-5 -4 -3 -2 -1 0";"-1 0";"";"-4 -3 -1";"-5 -4 0"
"scleractinia";"";"";"-3 -1 0";"-5 -4 -3 -2 -1";""
"gasteropoda";"-5 -4 -3 -2 -1 0";"-5 0";"";"-4 -3 -1";"-5 -4 -3 -2 -1 0"
"metazoa";"-5 -4 -3 -2 -1 0";"-5 -2 -1 0";"-4 -2 -1";"-4 -3 -2 -1";"-5 -4 -3 -2 -1 0"
"prymnesiophycae";"-9 -8 -7 -3 -2 -1 0";"-7 -6 -5";"-12 -8 -7 -6 -5 -2";"-13 -12 -11 -10 -9 -4 -3 -2 -1";"-15 -13 -12 -11 -10 -9 -8 -5 -3 -2 -1"
"foraminifera";"-15 -13 -11 -10 -4 -3 -2 -1 0";"-15 -14 -13 -12 -11 -9 -5 -3 -1 0";"-7 -5 -1 0";"-6 -5 -3 -2 -1 0";"-15 -13 -5 -4 -3 -2 -1 0"
"radiolaria";"-15 -14 -13 -12 -11 -10 -9 -5 -4 -3 -2 -1 0";"";"-2 -1";"-12 -11 -10 -9 -8 -7 -6 -5 -4 -3";"-14 -10 -9 -8 -5 -2"
"coccolithophoridae";"-11 -9 -4 -3 -2 -1 0";"-10 -9 -7 -6";"-6 -5 -4 -3 -2 0";"-14 -13 -11 -10 -9 -8 -7 -4 -3 0";"-6 -5 -1"
