,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.3626899898389764,-0.02327536639092638,0.15530670641530578,0.00677797643208168,0.27979852378081543,0.020306833155108974,-0.31113981093165216,,0.11856829183594753,,0.06968276561485688,,-0.13625048407923895,,0.05016231347233335,,-0.15785956179638813,,0.07444771799391517,0.0031100777524277865,-0.0607898086715981,0.18999377404058815,-0.015932046483385004,0.04108670622993817,-0.01592328598597518,,,0.0374389239369025,0.058920977941162196,-0.15645261487328008,-0.06339486410246875,0.06278254889041353,-0.22727403278082098,0.09408141417508455,-0.22323862223037674,0.03148966889998519,-0.04004129544448837,,,0.08456828863225696,0.10656704538103473,-0.01941748218314532
2,1.1610613674203571,,0.24887172998416696,,,0.057806404612072385,-0.0846800699816388,,0.15485708756224598,,,,,,0.21033377233513068,,,,-0.028422697432296685,-0.23535451002814228,-0.20263999429804064,-0.19704860954515652,-0.02091802725057336,0.1498693270622288,,,,-0.1826906933815392,0.6445832336434101,0.015561062425090644,,,,-0.15760257864638855,0.3080466865186073,,0.1025318364260625,,,-0.12790553134068955,0.18482299532351737,
3,-1.7724167904165076,,-0.25485274111438444,,,,-0.0804535329783768,,,,,,,,,,,,0.22070067501833684,,,,,,,,,,0.2004403387360424,,,,,,-0.28626959988573586,,,,,,,
4,1.15897962415433,,,,,,-0.09461640002873578,,,,,,,,,,,,,,,,,,,,,,0.45257398317790215,,,,,,0.28089110445559734,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,0.046233552829800795,-0.02327536639092638,0.04977523176169609,0.00677797643208168,0.27979852378081543,0.03905661888359068,-0.14272245348010087,,0.13671268969909675,,0.06968276561485688,,-0.13625048407923895,,0.13024804290373201,,-0.15785956179638813,,0.08890856519331845,-0.11612221613785725,-0.13171490148481937,-0.0035274177522841843,-0.01842503686697918,0.09547801664608349,-0.01592328598597518,,,-0.07262588472231835,0.3391296333746292,-0.07044577622409472,-0.06339486410246875,0.06278254889041353,-0.22727403278082098,-0.031760582235652,0.019857392214523005,0.03148966889998519,0.03124527049078707,,,-0.021668621354216294,0.14569502035227605,-0.01941748218314532
std,1.220220513900216,0.0,0.21876510203534585,0.0,0.0,0.018749785728481703,0.09737162755682706,,0.018144397863149225,,0.0,,0.0,,0.08008572943139866,,0.0,,0.10221692864226758,0.11923229389028503,0.07092509281322126,0.19352119179287233,0.0024929903835941777,0.05439131041614532,0.0,,,0.11006480865922086,0.22578924545171972,0.08600683864918536,0.0,0.0,0.0,0.12584199641073654,0.27568146283763306,0.0,0.07128656593527544,,,0.10623690998647325,0.03912797497124132,0.0
