diversity extinction origination
diversity NA 7.77224079532311e-05 0.000299343342926744
extinction 5.51146384530909e-07 NA 0.861800595238095
origination 0.00468694885361542 0.000357694003527254 NA
temperature 0.99 0.60150813444059 0.000137327096095414
carbon 0.99 0.99 0.000946318342151642
strontium 0.99 0.99 5.51146384530909e-07
sulfur 0.0166661155202821 0.243963946530347 0.99
