,Diversity to Extinction rate,Diversity to Origination rate,Diversity to Temperature,Diversity to δ13C,Diversity to 86Sr/87Sr,Diversity to δ34S,Extinction rate to Diversity,Extinction rate to Origination rate,Extinction rate to Temperature,Extinction rate to δ13C,Extinction rate to 86Sr/87Sr,Extinction rate to δ34S,Origination rate to Diversity,Origination rate to Extinction rate,Origination rate to Temperature,Origination rate to δ13C,Origination rate to 86Sr/87Sr,Origination rate to δ34S,Temperature to Diversity,Temperature to Extinction rate,Temperature to Origination rate,Temperature to δ13C,Temperature to 86Sr/87Sr,Temperature to δ34S,δ13C to Diversity,δ13C to Extinction rate,δ13C to Origination rate,δ13C to Temperature,δ13C to 86Sr/87Sr,δ13C to δ34S,86Sr/87Sr to Diversity,86Sr/87Sr to Extinction rate,86Sr/87Sr to Origination rate,86Sr/87Sr to Temperature,86Sr/87Sr to δ13C,86Sr/87Sr to δ34S,δ34S to Diversity,δ34S to Extinction rate,δ34S to Origination rate,δ34S to Temperature,δ34S to δ13C,δ34S to 86Sr/87Sr
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,-0.11129753625264793,-0.3945878727993766,-0.27309829151110865,-0.01924440153074224,0.03868904493224821,-0.179339241948132,-0.3373393517419536,-0.03180552967701925,-0.06952884657249997,-0.029297445599467883,0.08413982035564803,-0.029259694418916522,-0.05284207334835819,0.13300006702282538,-0.1587767062258375,,-0.15727331862003713,-0.09987739273282108,0.03580919953795361,-0.16893622901975672,0.11742433809883376,0.03878771322705618,0.16301072092948038,0.09435483009018779,-0.07606494294705024,-0.031349630291281336,,0.06542856581888283,-0.07085357853576045,-0.005023164564181904,0.14592564128044794,-0.16092201701806788,0.04491007822570289,-0.012236145946022963,0.0826615144287106,0.04164224585075939,-0.12863581027898968,-0.08037496352680078,-0.11748174861907164,0.18362064843252765,0.12655619142114036,0.14987976223919025
2,,,0.17391115103441968,,,0.27149518213075363,,,0.10875440078610743,,-0.27837262159614184,0.04995397477034165,,,0.021931418484587614,,,0.09145334518184918,0.08210231618460592,0.005714359856599113,0.02205315263800897,-0.03396103230361011,-0.32798235809901566,0.002946741757572849,,,,-0.0183126145740281,,0.043517777313468495,,-0.11988675607036488,,-0.004076672973685807,,-0.2435134568717255,0.20330999286363152,-0.190181045672401,0.19868126386364687,-0.07682390565623698,0.08715025587798844,-0.002146685653960304
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,-0.11129753625264793,-0.3945878727993766,-0.049593570238344487,-0.01924440153074224,0.03868904493224821,0.046077970091310816,-0.3373393517419536,-0.03180552967701925,0.01961277710680373,-0.029297445599467883,-0.0971164006202469,0.010347140175712564,-0.05284207334835819,0.13300006702282538,-0.06842264387062494,,-0.15727331862003713,-0.0042120237754859485,0.05895575786127977,-0.08161093458157881,0.06973874536842137,0.0024133404617230347,-0.08248581858476764,0.04865078592388032,-0.07606494294705024,-0.031349630291281336,,0.023557975622427365,-0.07085357853576045,0.019247306374643294,0.14592564128044794,-0.1404043865442164,0.04491007822570289,-0.008156409459854385,0.0826615144287106,-0.10093560551048306,0.03733709129232092,-0.13527800459960088,0.04059975762228762,0.053398371388145335,0.1068532236495644,0.07386653829261497
std,0.0,0.0,0.22350472127276416,0.0,0.0,0.22541721203944282,0.0,0.0,0.0891416236793037,0.0,0.18125622097589494,0.03960683459462909,0.0,0.0,0.09035406235521255,,0.0,0.09566536895733513,0.023146558323326155,0.08732529443817792,0.047685592730412396,0.036374372765333146,0.24549653951424802,0.045704044166307474,0.0,0.0,,0.04187059019645546,0.0,0.0242704709388252,0.0,0.0205176304738515,0.0,0.004079736486168578,0.0,0.14257785136124243,0.16597290157131062,0.054903041072800106,0.15808150624135925,0.1302222770443823,0.019702967771575958,0.07601322394657528
