diversity extinction origination
diversity NA 0.99 0.000115189594356302
extinction 0.108313492063492 NA 0.99
origination 0.00221285273368599 0.000357694003527254 NA
temperature 0.0166661155202821 2.97619047620046e-05 5.51146384486501e-06
carbon 0.00221285273368599 5.51146384530909e-07 0.000281925907833365
strontium 0.99 5.51146384530909e-07 0.00108222886425837
sulfur 2.97619047620046e-05 0.000946318342151642 0.861800595238095
