diversity extinction origination
diversity NA 0.396872280955179 0.525212373824374
extinction 0.329908642690282 NA 0.157301611772457
origination 0.521136368664034 0.416721499742719 NA
temperature 0.186791783210456 0.168740161674355 0.243533130079637
carbon 0.122344076140075 0.319144996215776 0.0976804350874221
strontium 0.105158883850008 0.320339541517837 0.180958075449396
sulfur 0.197590591072093 0.157438015841271 0.0947944098546435
